IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type,Duplicate,Duplicate1
tt4686862,Almost Adults,2016,TV-14,07 Feb 2017,90 min,"Comedy, Drama",Sarah Rotella,Adrianna DiLonardo,"Natasha Negovanlis, Elise Bauman, Justin Gerhard",English,Canada,5.7,80%,,movie,False,False
tt0250274,The Brothers,2001,R,23 Mar 2001,106 min,"Comedy, Drama",Gary Hardwick,Gary Hardwick,"Morris Chestnut, Shemar Moore, D.L. Hughley","English, French",United States,6.4,63%,50/100,movie,False,False
tt0840196,Skins,2007–2013,TV-MA,17 Jan 2011,46 min,Drama,N/A,"Jamie Brittain, Bryan Elsley","Kaya Scodelario, Nicholas Hoult, Joe Dempsie",English,United Kingdom,8.2,,,series,False,False
tt1195935,The Cleveland Show,2009–2013,TV-14,27 Sep 2009,22 min,"Animation, Adventure, Comedy",N/A,"Richard Appel, Mike Henry, Seth MacFarlane","Mike Henry, Sanaa Lathan, Kevin Michael Richardson",English,United States,5.5,,,series,False,False
tt0105929,Absolutely Fabulous,1992–2012,TV-14,24 Jul 1994,45 min,Comedy,N/A,N/A,"Jennifer Saunders, Joanna Lumley, Julia Sawalha","English, French",United Kingdom,8.1,,,series,False,False
tt1615919,Raising Hope,2010–2014,TV-PG,01 Sep 2010,22 min,"Comedy, Family",N/A,Gregory Thomas Garcia,"Lucas Neff, Martha Plimpton, Garret Dillahunt",English,United States,8.0,,,series,False,False
tt1749004,Come Fly with Me,2010–2011,TV-MA,24 Dec 2010,29 min,Comedy,N/A,N/A,"Matt Lucas, David Walliams, Lindsay Duncan",English,United Kingdom,7.5,,,series,False,False
tt2022713,Brickleberry,2012–2015,TV-MA,25 Sep 2012,22 min,"Animation, Comedy",N/A,"Roger Black, Waco O'Guin","Daniel Tosh, Roger Black, David Herman",English,United States,7.3,,,series,False,False
tt3398228,BoJack Horseman,2014–2020,TV-MA,22 Aug 2014,25 min,"Animation, Comedy, Drama",N/A,Raphael Bob-Waksberg,"Will Arnett, Amy Sedaris, Alison Brie",English,United States,8.7,,,series,False,False
tt3339966,Unbreakable Kimmy Schmidt,2015–2019,TV-14,06 Mar 2015,30 min,Comedy,N/A,"Robert Carlock, Tina Fey","Ellie Kemper, Jane Krakowski, Tituss Burgess",English,United States,7.6,,,series,False,False
tt0445935,Bordertown,2007,R,16 May 2008,112 min,"Crime, Mystery, Thriller",Gregory Nava,Gregory Nava,"Jennifer Lopez, Antonio Banderas, Maya Zapata","English, Spanish, Central American Indian languages","United States, Mexico",6.1,,,movie,False,False
tt3566726,Jane the Virgin,2014–2019,TV-PG,13 Oct 2014,60 min,Comedy,N/A,Jennie Snyder Urman,"Gina Rodriguez, Andrea Navedo, Yael Grobglas",English,United States,7.8,,,series,False,False
tt3850214,Dope,2015,R,19 Jun 2015,103 min,"Adventure, Comedy, Crime",Rick Famuyiwa,Rick Famuyiwa,"Shameik Moore, Tony Revolori, Kiersey Clemons","English, Spanish",United States,7.2,88%,72/100,movie,False,False
tt4307902,The Carmichael Show,2015–2017,N/A,26 Aug 2015,21 min,Comedy,N/A,"Jerrod Carmichael, Willie Hunter, Ari Katcher","Jerrod Carmichael, Amber Stevens West, Lil Rel Howery",English,United States,7.7,,,series,False,False
tt3273434,November Rule,2015,N/A,14 Feb 2015,94 min,"Comedy, Romance",Mike Elliott,"Candice Childress, Juwan Lee, Cecelia Ross","Mo McRae, Tatyana Ali, DJ Qualls",English,United States,5.4,,,movie,False,False
