imdb_id,platform_id
tt10225108,P02
tt10276578,P02
tt1028576,P02
tt10290670,P02
tt10366494,P02
tt1044418,P02
tt1049413,P02
tt10538348,P02
tt1055366,P02
tt10583412,P02
tt1068284,P02
tt10704300,P02
tt10719984,P02
tt1072755,P02
tt10854760,P02
tt10855726,P02
tt10863978,P02
tt1090750,P02
tt10981266,P02
tt1101237,P02
tt1104001,P02
tt11113964,P02
tt1114677,P02
tt11151654,P02
tt11194650,P02
tt11194652,P02
tt11199552,P02
tt11199558,P02
tt1127884,P02
tt11281500,P02
tt1134859,P02
tt1142977,P02
tt11448424,P02
tt11483514,P02
tt1159961,P02
tt1181917,P02
tt1185834,P02
tt11898442,P02
tt1196141,P02
tt1196339,P02
tt11998854,P02
tt12036052,P02
tt1204342,P02
tt12076020,P02
tt12080904,P02
tt12100044,P02
tt12100080,P02
tt1211837,P02
tt1216475,P02
tt1216515,P02
tt1216516,P02
tt1217209,P02
tt1217213,P02
tt1222815,P02
tt1222816,P02
tt1222818,P02
tt1223236,P02
tt1228705,P02
tt1229827,P02
tt1236246,P02
tt1245104,P02
tt1245537,P02
tt1247700,P02
tt1252374,P02
tt1252380,P02
tt1294226,P02
tt1298650,P02
tt1300854,P02
tt1305591,P02
tt1330219,P02
tt1334585,P02
tt1368151,P02
tt1369845,P02
tt1376699,P02
tt1378121,P02
tt1378123,P02
tt1388589,P02
tt1403075,P02
tt1415889,P02
tt1425244,P02
tt1449283,P02
tt1453405,P02
tt1455430,P02
tt1462769,P02
tt1479534,P02
tt1511164,P02
tt1537759,P02
tt1570382,P02
tt1579247,P02
tt1604171,P02
tt1614950,P02
tt1620446,P02
tt1620680,P02
tt1626038,P02
tt1629440,P02
tt1647936,P02
tt1648204,P02
tt1661326,P02
tt1710295,P02
tt1722512,P02
tt1725902,P02
tt1754799,P02
tt1765622,P02
tt1769803,P02
tt1772341,P02
tt1788785,P02
tt1812523,P02
tt1825683,P02
tt1825918,P02
tt1828976,P02
tt1830491,P02
tt1833403,P02
tt1835977,P02
tt1836776,P02
tt1843866,P02
tt1845866,P02
tt1846442,P02
tt1850374,P02
tt1865368,P02
tt1865718,P02
tt1865769,P02
tt1887491,P02
tt1957945,P02
tt1979376,P02
tt1979388,P02
tt1981115,P02
tt1991564,P02
tt2015381,P02
tt2025690,P02
tt2033372,P02
tt2078690,P02
tt2096673,P02
tt2136396,P02
tt2140373,P02
tt2165933,P02
tt2166364,P02
tt2171665,P02
tt2181679,P02
tt2191567,P02
tt2229129,P02
tt2245084,P02
tt2273734,P02
tt2277860,P02
tt2278028,P02
tt2281587,P02
tt2283584,P02
tt2294629,P02
tt2325989,P02
tt2326087,P02
tt2341339,P02
tt2380307,P02
tt2395427,P02
tt2414212,P02
tt2448374,P02
tt2455514,P02
tt2455546,P02
tt2458776,P02
tt2488496,P02
tt2490352,P02
tt2527336,P02
tt2543062,P02
tt2543796,P02
tt2565938,P02
tt2616880,P02
tt2746314,P02
tt2758770,P02
tt2762970,P02
tt2768802,P02
tt2769458,P02
tt2788732,P02
tt2930604,P02
tt2948356,P02
tt2964642,P02
tt2996052,P02
tt2999390,P02
tt3008594,P02
tt3014650,P02
tt3067144,P02
tt3067436,P02
tt3098856,P02
tt3098874,P02
tt3116154,P02
tt3221698,P02
tt3440298,P02
tt3475734,P02
tt3498820,P02
tt3501632,P02
tt3521164,P02
tt3544734,P02
tt3591568,P02
tt3593456,P02
tt3598030,P02
tt3602560,P02
tt3606752,P02
tt3660770,P02
tt3688956,P02
tt3691740,P02
tt3738576,P02
tt3748528,P02
tt3755824,P02
tt3755836,P02
tt3764966,P02
tt3793630,P02
tt3816666,P02
tt3856042,P02
tt3861390,P02
tt3896198,P02
tt3920782,P02
tt3978590,P02
tt4128102,P02
tt4148744,P02
tt4154664,P02
tt4154796,P02
tt4154858,P02
tt4176370,P02
tt4199038,P02
tt4266692,P02
tt4283838,P02
tt4341582,P02
tt4420110,P02
tt4456850,P02
tt4488724,P02
tt4507442,P02
tt4520988,P02
tt4549142,P02
tt4555736,P02
tt4622802,P02
tt4629266,P02
tt4651824,P02
tt4661600,P02
tt4664808,P02
tt4743564,P02
tt4800624,P02
tt4855868,P02
tt4858674,P02
tt4902964,P02
tt4951098,P02
tt5097410,P02
tt5116302,P02
tt5117876,P02
tt5118450,P02
tt5189554,P02
tt5195114,P02
tt5439480,P02
tt5452780,P02
tt5459566,P02
tt5480340,P02
tt5515212,P02
tt5531466,P02
tt5533228,P02
tt5538644,P02
tt5613056,P02
tt5648768,P02
tt5653444,P02
tt5929776,P02
tt6001956,P02
tt6091694,P02
tt6105098,P02
tt6110430,P02
tt6135682,P02
tt6139732,P02
tt6141006,P02
tt6176812,P02
tt6244108,P02
tt6264782,P02
tt6267732,P02
tt6279452,P02
tt6311972,P02
tt6337766,P02
tt6346162,P02
tt6390686,P02
tt6412478,P02
tt6467274,P02
tt6591446,P02
tt6603254,P02
tt6688750,P02
tt6779076,P02
tt6820324,P02
tt6878820,P02
tt6897772,P02
tt6945708,P02
